ep-829488 FCC(F)(OC(F)(F)F)C(F)(F)F
ep-843361 FCC#COC(F)(F)C(F)=C(F)F
ep-843362 FC=CC(F)(F)OC#CC(F)(F)F
ep-843363 FC(F)=CC(F)(F)OC#CC(F)F
ep-843364 FC=C(F)C(F)OC#CC(F)(F)F
ep-843365 FC(F)=C(F)C(F)OC#CC(F)F
ep-843366 FC(F)=CC(F)OC#CC(F)(F)F
ep-843367 FC(F)=C(F)COC#CC(F)(F)F
ep-843368 FC#CC(F)(F)OC#CC(F)(F)F
ep-843369 C=C(F)C#COC(F)(F)C(F)(F)F
ep-843370 FC=CC#COC(F)(F)C(F)(F)F
ep-843371 FC=C(F)C#COC(F)(F)C(F)F
ep-843372 FC(F)=CC#COC(F)(F)C(F)F
ep-843373 FCC(F)(F)OC#CC(F)=C(F)F
ep-843374 FC=C(F)C#COC(F)C(F)(F)F
ep-843375 FC(F)=CC#COC(F)C(F)(F)F
ep-843376 FC(F)=C(F)C#COC(F)C(F)F
ep-843377 FC(F)=C(F)C#COCC(F)(F)F
ep-843378 FC#CC#COC(F)(F)C(F)(F)F
ep-843394 C=C(OC(F)(F)F)C(=C)C(F)(F)F
ep-843395 C=C(C(=CF)OC(F)(F)F)C(F)F
ep-843396 C=C(OC(F)(F)F)C(=CF)C(F)F
ep-843397 C=C(CF)C(OC(F)(F)F)=C(F)F
ep-843398 FC=C(CF)C(=CF)OC(F)(F)F
ep-843399 C=C(OC(F)(F)F)C(CF)=C(F)F
ep-843400 CC(=CF)C(OC(F)(F)F)=C(F)F
ep-843401 CC(C(=CF)OC(F)(F)F)=C(F)F
ep-843402 C=C(C(=CF)OC(F)F)C(F)(F)F
ep-843403 C=C(OC(F)F)C(=CF)C(F)(F)F
ep-843404 C=C(C(OC(F)F)=C(F)F)C(F)F
ep-843405 FC=C(OC(F)F)C(=CF)C(F)F
ep-843406 C=C(OC(F)F)C(=C(F)F)C(F)F
ep-843407 FC=C(CF)C(OC(F)F)=C(F)F
ep-843408 FC=C(OC(F)F)C(CF)=C(F)F
ep-843409 CC(=C(F)F)C(OC(F)F)=C(F)F
ep-843410 C=C(C(OCF)=C(F)F)C(F)(F)F
ep-843411 FC=C(OCF)C(=CF)C(F)(F)F
ep-843412 C=C(OCF)C(=C(F)F)C(F)(F)F
ep-843413 FC=C(C(OCF)=C(F)F)C(F)F
ep-843414 FC=C(OCF)C(=C(F)F)C(F)F
ep-843415 FCOC(=C(F)F)C(CF)=C(F)F
ep-843416 COC(C(=CF)C(F)(F)F)=C(F)F
ep-843417 COC(=CF)C(=C(F)F)C(F)(F)F
ep-843418 COC(=C(F)F)C(=C(F)F)C(F)F
ep-843419 CC=C(OC(F)(F)F)C(F)(F)CF
ep-843420 CC(F)=C(OC(F)(F)F)C(C)(F)F
ep-843421 CC(F)(F)C(=CCF)OC(F)(F)F
ep-843422 CC=C(OC(F)(F)F)C(F)C(F)F
ep-843423 CC(F)=C(OC(F)(F)F)C(F)CF
ep-843424 FCC=C(OC(F)(F)F)C(F)CF
ep-843425 CC(F)C(OC(F)(F)F)=C(F)CF
ep-843426 CC(F)C(=CC(F)F)OC(F)(F)F
ep-843427 CC=C(CC(F)(F)F)OC(F)(F)F
ep-843428 CC(F)=C(CC(F)F)OC(F)(F)F
ep-843429 FCC=C(CC(F)F)OC(F)(F)F
ep-843430 FCCC(OC(F)(F)F)=C(F)CF
ep-843431 FCCC(=CC(F)F)OC(F)(F)F
ep-843432 CCC(OC(F)(F)F)=C(F)C(F)F
ep-843433 CCC(=CC(F)(F)F)OC(F)(F)F
ep-843434 CC=C(OC(F)F)C(F)(F)C(F)F
ep-843435 CC(F)=C(OC(F)F)C(F)(F)CF
ep-843436 FCC=C(OC(F)F)C(F)(F)CF
ep-843437 CC(F)(F)C(OC(F)F)=C(F)CF
ep-843438 CC(F)(F)C(=CC(F)F)OC(F)F
ep-843439 CC=C(OC(F)F)C(F)C(F)(F)F
ep-843440 CC(F)=C(OC(F)F)C(F)C(F)F
ep-843441 FCC=C(OC(F)F)C(F)C(F)F
ep-843442 FCC(F)=C(OC(F)F)C(F)CF
ep-843443 FCC(F)C(=CC(F)F)OC(F)F
ep-843444 CC(F)C(OC(F)F)=C(F)C(F)F
ep-843445 CC(F)C(=CC(F)(F)F)OC(F)F
ep-843446 CC(F)=C(CC(F)(F)F)OC(F)F
ep-843447 FCC=C(CC(F)(F)F)OC(F)F
ep-843448 FCC(F)=C(CC(F)F)OC(F)F
ep-843449 FC(F)C=C(CC(F)F)OC(F)F
ep-843450 FCCC(OC(F)F)=C(F)C(F)F
ep-843451 FCCC(=CC(F)(F)F)OC(F)F
ep-843452 CCC(OC(F)F)=C(F)C(F)(F)F
ep-843453 CC=C(OCF)C(F)(F)C(F)(F)F
ep-843454 CC(F)=C(OCF)C(F)(F)C(F)F
ep-843455 FCC=C(OCF)C(F)(F)C(F)F
ep-843456 FCOC(=C(F)CF)C(F)(F)CF
ep-843457 FCOC(=CC(F)F)C(F)(F)CF
ep-843458 CC(F)(F)C(OCF)=C(F)C(F)F
ep-843459 CC(F)(F)C(=CC(F)(F)F)OCF
ep-843460 CC(F)=C(OCF)C(F)C(F)(F)F
ep-843461 FCC=C(OCF)C(F)C(F)(F)F
ep-843462 FCOC(=C(F)CF)C(F)C(F)F
ep-843463 FCOC(=CC(F)F)C(F)C(F)F
ep-843464 FCOC(=C(F)C(F)F)C(F)CF
ep-843465 FCOC(=CC(F)(F)F)C(F)CF
ep-843466 CC(F)C(OCF)=C(F)C(F)(F)F
ep-843467 FCOC(CC(F)(F)F)=C(F)CF
ep-843468 FCOC(=CC(F)F)CC(F)(F)F
ep-843469 FCOC(CC(F)F)=C(F)C(F)F
ep-843470 FCOC(=CC(F)(F)F)CC(F)F
ep-843471 FCCC(OCF)=C(F)C(F)(F)F
ep-843472 COC(=C(C)F)C(F)(F)C(F)(F)F
ep-843473 COC(=CCF)C(F)(F)C(F)(F)F
ep-843474 COC(=C(F)CF)C(F)(F)C(F)F
ep-843475 COC(=CC(F)F)C(F)(F)C(F)F
ep-843476 COC(=C(F)C(F)F)C(F)(F)CF
ep-843477 COC(=CC(F)(F)F)C(F)(F)CF
ep-843478 COC(=C(F)C(F)(F)F)C(C)(F)F
ep-843479 COC(=C(F)CF)C(F)C(F)(F)F
ep-843480 COC(=CC(F)F)C(F)C(F)(F)F
ep-843481 COC(=C(F)C(F)F)C(F)C(F)F
ep-843482 COC(=CC(F)(F)F)C(F)C(F)F
ep-843483 COC(=C(F)C(F)(F)F)C(F)CF
ep-843484 COC(CC(F)(F)F)=C(F)C(F)F
ep-843485 COC(=CC(F)(F)F)CC(F)(F)F
ep-843486 COC(CC(F)F)=C(F)C(F)(F)F
ep-843555 C=C(C(F)F)C(F)(F)OC(C)(F)F
ep-843556 C=C(CF)C(F)(F)OC(F)(F)CF
ep-843557 CC(F)(F)OC(F)(F)C(=CF)CF
ep-843558 C=C(C)C(F)(F)OC(F)(F)C(F)F
ep-843559 CC(=CF)C(F)(F)OC(F)(F)CF
ep-843560 CC(=C(F)F)C(F)(F)OC(C)(F)F
ep-843561 C=C(C(F)(F)F)C(F)(F)OC(C)F
ep-843562 C=C(C(F)F)C(F)(F)OC(F)CF
ep-843563 CC(F)OC(F)(F)C(=CF)C(F)F
ep-843564 C=C(CF)C(F)(F)OC(F)C(F)F
ep-843565 FC=C(CF)C(F)(F)OC(F)CF
ep-843566 CC(F)OC(F)(F)C(CF)=C(F)F
ep-843567 C=C(C)C(F)(F)OC(F)C(F)(F)F
ep-843568 CC(=CF)C(F)(F)OC(F)C(F)F
ep-843569 CC(=C(F)F)C(F)(F)OC(F)CF
ep-843570 C=C(C(F)(F)F)C(F)(F)OCCF
ep-843571 CCOC(F)(F)C(=CF)C(F)(F)F
ep-843572 C=C(C(F)F)C(F)(F)OCC(F)F
ep-843573 FC=C(C(F)F)C(F)(F)OCCF
ep-843574 CCOC(F)(F)C(=C(F)F)C(F)F
ep-843575 C=C(CF)C(F)(F)OCC(F)(F)F
ep-843576 FC=C(CF)C(F)(F)OCC(F)F
ep-843577 FCCOC(F)(F)C(CF)=C(F)F
ep-843578 CC(=CF)C(F)(F)OCC(F)(F)F
ep-843579 CC(=C(F)F)C(F)(F)OCC(F)F
ep-843580 C=C(C(F)OC(C)(F)F)C(F)(F)F
ep-843581 C=C(C(F)F)C(F)OC(F)(F)CF
ep-843582 CC(F)(F)OC(F)C(=CF)C(F)F
ep-843583 C=C(CF)C(F)OC(F)(F)C(F)F
ep-843584 FC=C(CF)C(F)OC(F)(F)CF
ep-843585 CC(F)(F)OC(F)C(CF)=C(F)F
ep-843586 C=C(C)C(F)OC(F)(F)C(F)(F)F
ep-843587 CC(=CF)C(F)OC(F)(F)C(F)F
ep-843588 CC(=C(F)F)C(F)OC(F)(F)CF
ep-843589 C=C(C(F)OC(F)CF)C(F)(F)F
ep-843590 CC(F)OC(F)C(=CF)C(F)(F)F
ep-843591 C=C(C(F)F)C(F)OC(F)C(F)F
ep-843592 FC=C(C(F)F)C(F)OC(F)CF
ep-843593 CC(F)OC(F)C(=C(F)F)C(F)F
ep-843594 C=C(CF)C(F)OC(F)C(F)(F)F
ep-843595 FC=C(CF)C(F)OC(F)C(F)F
ep-843596 FCC(=C(F)F)C(F)OC(F)CF
ep-843597 CC(=CF)C(F)OC(F)C(F)(F)F
ep-843598 CC(=C(F)F)C(F)OC(F)C(F)F
ep-843599 C=C(C(F)OCC(F)F)C(F)(F)F
ep-843600 FC=C(C(F)OCCF)C(F)(F)F
ep-843601 CCOC(F)C(=C(F)F)C(F)(F)F
ep-843602 C=C(C(F)F)C(F)OCC(F)(F)F
ep-843603 FC=C(C(F)F)C(F)OCC(F)F
ep-843604 FCCOC(F)C(=C(F)F)C(F)F
ep-843605 FC=C(CF)C(F)OCC(F)(F)F
ep-843606 FCC(=C(F)F)C(F)OCC(F)F
ep-843607 CC(=C(F)F)C(F)OCC(F)(F)F
ep-843608 C=C(COC(F)(F)CF)C(F)(F)F
ep-843609 CC(F)(F)OCC(=CF)C(F)(F)F
ep-843610 C=C(COC(F)(F)C(F)F)C(F)F
ep-843611 FC=C(COC(F)(F)CF)C(F)F
ep-843612 CC(F)(F)OCC(=C(F)F)C(F)F
ep-843613 C=C(CF)COC(F)(F)C(F)(F)F
ep-843614 FC=C(CF)COC(F)(F)C(F)F
ep-843615 FCC(COC(F)(F)CF)=C(F)F
ep-843616 CC(=CF)COC(F)(F)C(F)(F)F
ep-843617 CC(COC(F)(F)C(F)F)=C(F)F
ep-843618 C=C(COC(F)C(F)F)C(F)(F)F
ep-843619 FC=C(COC(F)CF)C(F)(F)F
ep-843620 CC(F)OCC(=C(F)F)C(F)(F)F
ep-843621 C=C(COC(F)C(F)(F)F)C(F)F
ep-843622 FC=C(COC(F)C(F)F)C(F)F
ep-843623 FCC(F)OCC(=C(F)F)C(F)F
ep-843624 FC=C(CF)COC(F)C(F)(F)F
ep-843625 FCC(COC(F)C(F)F)=C(F)F
ep-843626 CC(COC(F)C(F)(F)F)=C(F)F
ep-843627 C=C(COCC(F)(F)F)C(F)(F)F
ep-843628 FC=C(COCC(F)F)C(F)(F)F
ep-843629 FCCOCC(=C(F)F)C(F)(F)F
ep-843630 FC=C(COCC(F)(F)F)C(F)F
ep-843631 FC(F)=C(COCC(F)F)C(F)F
ep-843632 FCC(COCC(F)(F)F)=C(F)F
ep-843633 CCC(F)(F)OC(F)(F)C(C)(F)F
ep-843634 CCC(F)(F)OC(F)(F)C(F)CF
ep-843635 CC(F)C(F)(F)OC(F)(F)C(C)F
ep-843636 CC(F)C(F)(F)OC(F)(F)CCF
ep-843637 CCC(F)(F)OC(F)(F)CC(F)F
ep-843638 FCCC(F)(F)OC(F)(F)CCF
ep-843639 CCC(F)OC(F)(F)C(F)(F)CF
ep-843640 CC(F)C(F)OC(F)(F)C(C)(F)F
ep-843641 CC(F)(F)C(F)(F)OC(F)CCF
ep-843642 CCC(F)OC(F)(F)C(F)C(F)F
ep-843643 CC(F)C(F)OC(F)(F)C(F)CF
ep-843644 FCCC(F)OC(F)(F)C(F)CF
ep-843645 CC(F)C(F)(F)OC(F)C(C)(F)F
ep-843646 CC(F)C(F)(F)OC(F)C(F)CF
ep-843647 CC(F)C(F)(F)OC(F)CC(F)F
ep-843648 CCC(F)OC(F)(F)CC(F)(F)F
ep-843649 CC(F)C(F)OC(F)(F)CC(F)F
ep-843650 FCCC(F)OC(F)(F)CC(F)F
ep-843651 CC(F)(F)C(F)OC(F)(F)CCF
ep-843652 FCCC(F)(F)OC(F)C(F)CF
ep-843653 FCCC(F)(F)OC(F)CC(F)F
ep-843654 CCC(F)(F)OC(F)C(F)(F)CF
ep-843655 CCC(F)(F)OC(F)C(F)C(F)F
ep-843656 CCC(F)(F)OC(F)CC(F)(F)F
ep-843657 CCCOC(F)(F)C(F)(F)C(F)F
ep-843658 CC(F)COC(F)(F)C(F)(F)CF
ep-843659 FCCCOC(F)(F)C(F)(F)CF
ep-843660 CC(F)(F)COC(F)(F)C(C)(F)F
ep-843661 CC(F)(F)C(F)(F)OCC(F)CF
ep-843662 CC(F)(F)C(F)(F)OCCC(F)F
ep-843663 CCCOC(F)(F)C(F)C(F)(F)F
ep-843664 CC(F)COC(F)(F)C(F)C(F)F
ep-843665 FCCCOC(F)(F)C(F)C(F)F
ep-843666 CC(F)(F)COC(F)(F)C(F)CF
ep-843667 FCC(F)COC(F)(F)C(F)CF
ep-843668 FCC(F)C(F)(F)OCCC(F)F
ep-843669 CC(F)C(F)(F)OCC(F)(F)CF
ep-843670 CC(F)C(F)(F)OCC(F)C(F)F
ep-843671 CC(F)C(F)(F)OCCC(F)(F)F
ep-843672 CC(F)COC(F)(F)CC(F)(F)F
ep-843673 FCCCOC(F)(F)CC(F)(F)F
ep-843674 CC(F)(F)COC(F)(F)CC(F)F
ep-843675 FCC(F)COC(F)(F)CC(F)F
ep-843676 FC(F)CCOC(F)(F)CC(F)F
ep-843677 FCCC(F)(F)OCC(F)(F)CF
ep-843678 FCCC(F)(F)OCC(F)C(F)F
ep-843679 FCCC(F)(F)OCCC(F)(F)F
ep-843680 CCC(F)(F)OCC(F)(F)C(F)F
ep-843681 CCC(F)(F)OCC(F)C(F)(F)F
ep-843682 CCC(F)OC(F)C(F)(F)C(F)F
ep-843683 CC(F)C(F)OC(F)C(F)(F)CF
ep-843684 FCCC(F)OC(F)C(F)(F)CF
ep-843685 CC(F)(F)C(F)OC(F)C(C)(F)F
ep-843686 CC(F)(F)C(F)OC(F)C(F)CF
ep-843687 CC(F)(F)C(F)OC(F)CC(F)F
ep-843688 CCC(F)OC(F)C(F)C(F)(F)F
ep-843689 CC(F)C(F)OC(F)C(F)C(F)F
ep-843690 FCCC(F)OC(F)C(F)C(F)F
ep-843691 FCC(F)C(F)OC(F)C(F)CF
ep-843692 FCC(F)C(F)OC(F)CC(F)F
ep-843693 CC(F)C(F)OC(F)CC(F)(F)F
ep-843694 FCCC(F)OC(F)CC(F)(F)F
ep-843695 FC(F)CC(F)OC(F)CC(F)F
ep-843696 CCCOC(F)C(F)(F)C(F)(F)F
ep-843697 CC(F)COC(F)C(F)(F)C(F)F
ep-843698 FCCCOC(F)C(F)(F)C(F)F
ep-843699 CC(F)(F)COC(F)C(F)(F)CF
ep-843700 FCC(F)COC(F)C(F)(F)CF
ep-843701 FCC(F)(F)C(F)OCCC(F)F
ep-843702 CC(F)(F)C(F)OCC(F)(F)CF
ep-843703 CC(F)(F)C(F)OCC(F)C(F)F
ep-843704 CC(F)(F)C(F)OCCC(F)(F)F
ep-843705 CC(F)COC(F)C(F)C(F)(F)F
ep-843706 FCCCOC(F)C(F)C(F)(F)F
ep-843707 CC(F)(F)COC(F)C(F)C(F)F
ep-843708 FCC(F)COC(F)C(F)C(F)F
ep-843709 FC(F)CCOC(F)C(F)C(F)F
ep-843710 FCC(F)C(F)OCC(F)(F)CF
ep-843711 FCC(F)C(F)OCC(F)C(F)F
ep-843712 FCC(F)C(F)OCCC(F)(F)F
ep-843713 CC(F)C(F)OCC(F)(F)C(F)F
ep-843714 CC(F)C(F)OCC(F)C(F)(F)F
ep-843715 CC(F)(F)COC(F)CC(F)(F)F
ep-843716 FCC(F)COC(F)CC(F)(F)F
ep-843717 FC(F)CCOC(F)CC(F)(F)F
ep-843718 FCC(F)(F)COC(F)CC(F)F
ep-843719 FC(F)CC(F)OCC(F)C(F)F
ep-843720 FC(F)CC(F)OCCC(F)(F)F
ep-843721 FCCC(F)OCC(F)(F)C(F)F
ep-843722 FCCC(F)OCC(F)C(F)(F)F
ep-843723 CCC(F)OCC(F)(F)C(F)(F)F
ep-843724 CC(F)COCC(F)(F)C(F)(F)F
ep-843725 FCCCOCC(F)(F)C(F)(F)F
ep-843726 CC(F)(F)COCC(F)(F)C(F)F
ep-843727 FCC(F)COCC(F)(F)C(F)F
ep-843728 FC(F)CCOCC(F)(F)C(F)F
ep-843729 FCC(F)(F)COCC(F)(F)CF
ep-843730 FCC(F)(F)COCC(F)C(F)F
ep-843731 FCC(F)(F)COCCC(F)(F)F
ep-843732 CC(F)(F)COCC(F)C(F)(F)F
ep-843733 FCC(F)COCC(F)C(F)(F)F
ep-843734 FC(F)CCOCC(F)C(F)(F)F
ep-843735 FC(F)C(F)COCC(F)C(F)F
ep-843736 FC(F)C(F)COCCC(F)(F)F
ep-843737 FC(F)(F)CCOCCC(F)(F)F
ep-843799 C=CC(F)(F)OC(F)(F)C(C)(F)F
ep-843800 C=CC(F)(F)OC(F)(F)C(F)CF
ep-843801 C=C(F)C(F)(F)OC(F)(F)C(C)F
ep-843802 CC(F)C(F)(F)OC(F)(F)C=CF
ep-843803 C=CC(F)(F)OC(F)(F)CC(F)F
ep-843804 C=C(F)C(F)(F)OC(F)(F)CCF
ep-843805 FC=CC(F)(F)OC(F)(F)CCF
ep-843806 CCC(F)(F)OC(F)(F)C(F)=CF
ep-843807 CCC(F)(F)OC(F)(F)C=C(F)F
ep-843808 C=CC(F)OC(F)(F)C(F)(F)CF
ep-843809 C=C(F)C(F)OC(F)(F)C(C)(F)F
ep-843810 CC(F)(F)C(F)(F)OC(F)C=CF
ep-843811 C=CC(F)OC(F)(F)C(F)C(F)F
ep-843812 C=C(F)C(F)OC(F)(F)C(F)CF
ep-843813 FC=CC(F)OC(F)(F)C(F)CF
ep-843814 CC(F)C(F)(F)OC(F)C(F)=CF
ep-843815 CC(F)C(F)(F)OC(F)C=C(F)F
ep-843816 C=CC(F)OC(F)(F)CC(F)(F)F
ep-843817 C=C(F)C(F)OC(F)(F)CC(F)F
ep-843818 FC=CC(F)OC(F)(F)CC(F)F
ep-843819 FC=C(F)C(F)OC(F)(F)CCF
ep-843820 FCCC(F)(F)OC(F)C=C(F)F
ep-843821 CCC(F)(F)OC(F)C(F)=C(F)F
ep-843822 C=CCOC(F)(F)C(F)(F)C(F)F
ep-843823 C=C(F)COC(F)(F)C(F)(F)CF
ep-843824 FC=CCOC(F)(F)C(F)(F)CF
ep-843825 CC(F)(F)C(F)(F)OCC(F)=CF
ep-843826 CC(F)(F)C(F)(F)OCC=C(F)F
ep-843827 C=CCOC(F)(F)C(F)C(F)(F)F
ep-843828 C=C(F)COC(F)(F)C(F)C(F)F
ep-843829 FC=CCOC(F)(F)C(F)C(F)F
ep-843830 FC=C(F)COC(F)(F)C(F)CF
ep-843831 FCC(F)C(F)(F)OCC=C(F)F
ep-843832 CC(F)C(F)(F)OCC(F)=C(F)F
ep-843833 C=C(F)COC(F)(F)CC(F)(F)F
ep-843834 FC=CCOC(F)(F)CC(F)(F)F
ep-843835 FC=C(F)COC(F)(F)CC(F)F
ep-843836 FC(F)=CCOC(F)(F)CC(F)F
ep-843837 FCCC(F)(F)OCC(F)=C(F)F
ep-843838 C=CC(F)(F)OC(F)C(F)(F)CF
ep-843839 C=C(F)C(F)(F)OC(F)C(C)(F)F
ep-843840 CC(F)(F)C(F)OC(F)(F)C=CF
ep-843841 C=CC(F)(F)OC(F)C(F)C(F)F
ep-843842 C=C(F)C(F)(F)OC(F)C(F)CF
ep-843843 FC=CC(F)(F)OC(F)C(F)CF
ep-843844 CC(F)C(F)OC(F)(F)C(F)=CF
ep-843845 CC(F)C(F)OC(F)(F)C=C(F)F
ep-843846 C=CC(F)(F)OC(F)CC(F)(F)F
ep-843847 C=C(F)C(F)(F)OC(F)CC(F)F
ep-843848 FC=CC(F)(F)OC(F)CC(F)F
ep-843849 FC=C(F)C(F)(F)OC(F)CCF
ep-843850 FCCC(F)OC(F)(F)C=C(F)F
ep-843851 CCC(F)OC(F)(F)C(F)=C(F)F
ep-843852 C=CC(F)OC(F)C(F)(F)C(F)F
ep-843853 C=C(F)C(F)OC(F)C(F)(F)CF
ep-843854 FC=CC(F)OC(F)C(F)(F)CF
ep-843855 CC(F)(F)C(F)OC(F)C(F)=CF
ep-843856 CC(F)(F)C(F)OC(F)C=C(F)F
ep-843857 C=CC(F)OC(F)C(F)C(F)(F)F
ep-843858 C=C(F)C(F)OC(F)C(F)C(F)F
ep-843859 FC=CC(F)OC(F)C(F)C(F)F
ep-843860 FC=C(F)C(F)OC(F)C(F)CF
ep-843861 FCC(F)C(F)OC(F)C=C(F)F
ep-843862 CC(F)C(F)OC(F)C(F)=C(F)F
ep-843863 C=C(F)C(F)OC(F)CC(F)(F)F
ep-843864 FC=CC(F)OC(F)CC(F)(F)F
ep-843865 FC=C(F)C(F)OC(F)CC(F)F
ep-843866 FC(F)=CC(F)OC(F)CC(F)F
ep-843867 FCCC(F)OC(F)C(F)=C(F)F
ep-843868 C=CCOC(F)C(F)(F)C(F)(F)F
ep-843869 C=C(F)COC(F)C(F)(F)C(F)F
ep-843870 FC=CCOC(F)C(F)(F)C(F)F
ep-843871 FC=C(F)COC(F)C(F)(F)CF
ep-843872 FCC(F)(F)C(F)OCC=C(F)F
ep-843873 CC(F)(F)C(F)OCC(F)=C(F)F
ep-843874 C=C(F)COC(F)C(F)C(F)(F)F
ep-843875 FC=CCOC(F)C(F)C(F)(F)F
ep-843876 FC=C(F)COC(F)C(F)C(F)F
ep-843877 FC(F)=CCOC(F)C(F)C(F)F
ep-843878 FCC(F)C(F)OCC(F)=C(F)F
ep-843879 FC=C(F)COC(F)CC(F)(F)F
ep-843880 FC(F)=CCOC(F)CC(F)(F)F
ep-843881 FC(F)=C(F)COC(F)CC(F)F
ep-843882 C=CC(F)(F)OCC(F)(F)C(F)F
ep-843883 C=C(F)C(F)(F)OCC(F)(F)CF
ep-843884 FC=CC(F)(F)OCC(F)(F)CF
ep-843885 CC(F)(F)COC(F)(F)C(F)=CF
ep-843886 CC(F)(F)COC(F)(F)C=C(F)F
ep-843887 C=CC(F)(F)OCC(F)C(F)(F)F
ep-843888 C=C(F)C(F)(F)OCC(F)C(F)F
ep-843889 FC=CC(F)(F)OCC(F)C(F)F
ep-843890 FC=C(F)C(F)(F)OCC(F)CF
ep-843891 FCC(F)COC(F)(F)C=C(F)F
ep-843892 CC(F)COC(F)(F)C(F)=C(F)F
ep-843893 C=C(F)C(F)(F)OCCC(F)(F)F
ep-843894 FC=CC(F)(F)OCCC(F)(F)F
ep-843895 FC=C(F)C(F)(F)OCCC(F)F
ep-843896 FC(F)=CC(F)(F)OCCC(F)F
ep-843897 FCCCOC(F)(F)C(F)=C(F)F
ep-843898 C=CC(F)OCC(F)(F)C(F)(F)F
ep-843899 C=C(F)C(F)OCC(F)(F)C(F)F
ep-843900 FC=CC(F)OCC(F)(F)C(F)F
ep-843901 FC=C(F)C(F)OCC(F)(F)CF
ep-843902 FCC(F)(F)COC(F)C=C(F)F
ep-843903 CC(F)(F)COC(F)C(F)=C(F)F
ep-843904 C=C(F)C(F)OCC(F)C(F)(F)F
ep-843905 FC=CC(F)OCC(F)C(F)(F)F
ep-843906 FC=C(F)C(F)OCC(F)C(F)F
ep-843907 FC(F)=CC(F)OCC(F)C(F)F
ep-843908 FCC(F)COC(F)C(F)=C(F)F
ep-843909 FC=C(F)C(F)OCCC(F)(F)F
ep-843910 FC(F)=CC(F)OCCC(F)(F)F
ep-843911 FC(F)=C(F)C(F)OCCC(F)F
ep-843912 C=C(F)COCC(F)(F)C(F)(F)F
ep-843913 FC=CCOCC(F)(F)C(F)(F)F
ep-843914 FC=C(F)COCC(F)(F)C(F)F
ep-843915 FC(F)=CCOCC(F)(F)C(F)F
ep-843916 FCC(F)(F)COCC(F)=C(F)F
ep-843917 FC=C(F)COCC(F)C(F)(F)F
ep-843918 FC(F)=CCOCC(F)C(F)(F)F
ep-843919 FC(F)=C(F)COCC(F)C(F)F
ep-843920 FC(F)=C(F)COCCC(F)(F)F
ep-843921 C#CC(F)(F)OC(F)(F)C(C)(F)F
ep-843922 C#CC(F)(F)OC(F)(F)C(F)CF
ep-843923 CC(F)C(F)(F)OC(F)(F)C#CF
ep-843924 C#CC(F)(F)OC(F)(F)CC(F)F
ep-843925 FC#CC(F)(F)OC(F)(F)CCF
ep-843926 C#CC(F)OC(F)(F)C(F)(F)CF
ep-843927 CC(F)(F)C(F)(F)OC(F)C#CF
ep-843928 C#CC(F)OC(F)(F)C(F)C(F)F
ep-843929 FC#CC(F)OC(F)(F)C(F)CF
ep-843930 C#CC(F)OC(F)(F)CC(F)(F)F
ep-843931 FC#CC(F)OC(F)(F)CC(F)F
ep-843932 C#CCOC(F)(F)C(F)(F)C(F)F
ep-843933 FC#CCOC(F)(F)C(F)(F)CF
ep-843934 C#CCOC(F)(F)C(F)C(F)(F)F
ep-843935 FC#CCOC(F)(F)C(F)C(F)F
ep-843936 FC#CCOC(F)(F)CC(F)(F)F
ep-843937 C#CC(F)(F)OC(F)C(F)(F)CF
ep-843938 CC(F)(F)C(F)OC(F)(F)C#CF
ep-843939 C#CC(F)(F)OC(F)C(F)C(F)F
ep-843940 FC#CC(F)(F)OC(F)C(F)CF
ep-843941 C#CC(F)(F)OC(F)CC(F)(F)F
ep-843942 FC#CC(F)(F)OC(F)CC(F)F
ep-843943 C#CC(F)OC(F)C(F)(F)C(F)F
ep-843944 FC#CC(F)OC(F)C(F)(F)CF
ep-843945 C#CC(F)OC(F)C(F)C(F)(F)F
ep-843946 FC#CC(F)OC(F)C(F)C(F)F
ep-843947 FC#CC(F)OC(F)CC(F)(F)F
ep-843948 C#CCOC(F)C(F)(F)C(F)(F)F
ep-843949 FC#CCOC(F)C(F)(F)C(F)F
ep-843950 FC#CCOC(F)C(F)C(F)(F)F
ep-843951 C#CC(F)(F)OCC(F)(F)C(F)F
ep-843952 FC#CC(F)(F)OCC(F)(F)CF
ep-843953 C#CC(F)(F)OCC(F)C(F)(F)F
ep-843954 FC#CC(F)(F)OCC(F)C(F)F
ep-843955 FC#CC(F)(F)OCCC(F)(F)F
ep-843956 C#CC(F)OCC(F)(F)C(F)(F)F
ep-843957 FC#CC(F)OCC(F)(F)C(F)F
ep-843958 FC#CC(F)OCC(F)C(F)(F)F
ep-843959 FC#CCOCC(F)(F)C(F)(F)F
ep-843994 FCOC(F)=C(F)OC(F)=C(F)F
ep-843995 FC=C(F)OC(F)=C(F)OC(F)F
ep-843996 C=C(F)OC(F)=C(F)OC(F)(F)F
ep-843997 FC(=COC(F)F)OC(F)=C(F)F
ep-843998 FC=C(F)OC(F)=COC(F)(F)F
ep-843999 FC(F)=COC(F)=C(F)OC(F)F
ep-844000 FC=COC(F)=C(F)OC(F)(F)F
ep-844001 FC(F)=COC(F)=COC(F)(F)F
ep-844002 FC(=COC(F)=C(F)F)OC(F)F
ep-844003 FC=C(F)OC=C(F)OC(F)(F)F
ep-844004 FC(F)=C(F)OC=COC(F)(F)F
ep-844005 FC(F)=COC=C(F)OC(F)(F)F
ep-844006 FC#COC(F)=C(F)OC(F)(F)F
