ep-904920 FC(F)(F)OC(F)(C(F)(F)F)C(F)(F)F
ep-907980 CC(=C(F)F)C(F)(F)C(F)OC(F)(F)F
ep-907981 C=C(C(F)C(F)OC(F)(F)F)C(F)(F)F
ep-907982 FC=C(C(F)F)C(F)C(F)OC(F)(F)F
ep-907983 FCC(=C(F)F)C(F)C(F)OC(F)(F)F
ep-907984 FC=C(CC(F)OC(F)(F)F)C(F)(F)F
ep-907985 FC(F)=C(CC(F)OC(F)(F)F)C(F)F
ep-907986 C=C(C(F)(F)F)C(F)(F)C(F)OC(F)F
ep-907987 FC=C(C(F)F)C(F)(F)C(F)OC(F)F
ep-907988 FCC(=C(F)F)C(F)(F)C(F)OC(F)F
ep-907989 FC=C(C(F)C(F)OC(F)F)C(F)(F)F
ep-907990 FC(F)=C(C(F)F)C(F)C(F)OC(F)F
ep-907991 FC(F)=C(CC(F)OC(F)F)C(F)(F)F
ep-907992 FC=C(C(F)(F)F)C(F)(F)C(F)OCF
ep-907993 FCOC(F)C(F)(F)C(=C(F)F)C(F)F
ep-907994 FCOC(F)C(F)C(=C(F)F)C(F)(F)F
ep-907995 COC(F)C(F)(F)C(=C(F)F)C(F)(F)F
ep-907996 C=C(C(F)(F)F)C(F)(F)COC(F)(F)F
ep-907997 FC=C(C(F)F)C(F)(F)COC(F)(F)F
ep-907998 FCC(=C(F)F)C(F)(F)COC(F)(F)F
ep-907999 FC=C(C(F)COC(F)(F)F)C(F)(F)F
ep-908000 FC(F)=C(C(F)F)C(F)COC(F)(F)F
ep-908001 FC(F)=C(CCOC(F)(F)F)C(F)(F)F
ep-908002 FC=C(C(F)(F)F)C(F)(F)COC(F)F
ep-908003 FC(F)=C(C(F)F)C(F)(F)COC(F)F
ep-908004 FC(F)=C(C(F)COC(F)F)C(F)(F)F
ep-908005 FCOCC(F)(F)C(=C(F)F)C(F)(F)F
ep-908006 CCC(F)C(F)(F)C(F)(F)OC(F)(F)F
ep-908007 CC(F)CC(F)(F)C(F)(F)OC(F)(F)F
ep-908008 FCCCC(F)(F)C(F)(F)OC(F)(F)F
ep-908009 CCC(F)(F)C(F)C(F)(F)OC(F)(F)F
ep-908010 CC(F)C(F)C(F)C(F)(F)OC(F)(F)F
ep-908011 FCCC(F)C(F)C(F)(F)OC(F)(F)F
ep-908012 CC(F)(F)CC(F)C(F)(F)OC(F)(F)F
ep-908013 FCC(F)CC(F)C(F)(F)OC(F)(F)F
ep-908014 FC(F)CCC(F)C(F)(F)OC(F)(F)F
ep-908015 CC(F)C(F)(F)CC(F)(F)OC(F)(F)F
ep-908016 FCCC(F)(F)CC(F)(F)OC(F)(F)F
ep-908017 CC(F)(F)C(F)CC(F)(F)OC(F)(F)F
ep-908018 FCC(F)C(F)CC(F)(F)OC(F)(F)F
ep-908019 FC(F)CC(F)CC(F)(F)OC(F)(F)F
ep-908020 FCC(F)(F)CCC(F)(F)OC(F)(F)F
ep-908021 FC(F)C(F)CCC(F)(F)OC(F)(F)F
ep-908022 FC(F)(F)CCCC(F)(F)OC(F)(F)F
ep-908023 CCC(F)(F)C(F)(F)C(F)(F)OC(F)F
ep-908024 CC(F)C(F)C(F)(F)C(F)(F)OC(F)F
ep-908025 FCCC(F)C(F)(F)C(F)(F)OC(F)F
ep-908026 CC(F)(F)CC(F)(F)C(F)(F)OC(F)F
ep-908027 FCC(F)CC(F)(F)C(F)(F)OC(F)F
ep-908028 FC(F)CCC(F)(F)C(F)(F)OC(F)F
ep-908029 CC(F)C(F)(F)C(F)C(F)(F)OC(F)F
ep-908030 FCCC(F)(F)C(F)C(F)(F)OC(F)F
ep-908031 CC(F)(F)C(F)C(F)C(F)(F)OC(F)F
ep-908032 FCC(F)C(F)C(F)C(F)(F)OC(F)F
ep-908033 FC(F)CC(F)C(F)C(F)(F)OC(F)F
ep-908034 FCC(F)(F)CC(F)C(F)(F)OC(F)F
ep-908035 FC(F)OC(F)(F)C(F)CC(F)C(F)F
ep-908036 FC(F)OC(F)(F)C(F)CCC(F)(F)F
ep-908037 CC(F)(F)C(F)(F)CC(F)(F)OC(F)F
ep-908038 FCC(F)C(F)(F)CC(F)(F)OC(F)F
ep-908039 FC(F)CC(F)(F)CC(F)(F)OC(F)F
ep-908040 FCC(F)(F)C(F)CC(F)(F)OC(F)F
ep-908041 FC(F)OC(F)(F)CC(F)C(F)C(F)F
ep-908042 FC(CC(F)(F)F)CC(F)(F)OC(F)F
ep-908043 FC(F)OC(F)(F)CCC(F)(F)C(F)F
ep-908044 FC(F)OC(F)(F)CCC(F)C(F)(F)F
ep-908045 CC(F)C(F)(F)C(F)(F)C(F)(F)OCF
ep-908046 FCCC(F)(F)C(F)(F)C(F)(F)OCF
ep-908047 CC(F)(F)C(F)C(F)(F)C(F)(F)OCF
ep-908048 FCOC(F)(F)C(F)(F)C(F)C(F)CF
ep-908049 FCOC(F)(F)C(F)(F)C(F)CC(F)F
ep-908050 FCOC(F)(F)C(F)(F)CC(F)(F)CF
ep-908051 FCOC(F)(F)C(F)(F)CC(F)C(F)F
ep-908052 FCOC(F)(F)C(F)(F)CCC(F)(F)F
ep-908053 CC(F)(F)C(F)(F)C(F)C(F)(F)OCF
ep-908054 FCOC(F)(F)C(F)C(F)(F)C(F)CF
ep-908055 FCOC(F)(F)C(F)C(F)(F)CC(F)F
ep-908056 FCOC(F)(F)C(F)C(F)C(F)(F)CF
ep-908057 FCOC(F)(F)C(F)C(F)C(F)C(F)F
ep-908058 FCOC(F)(F)C(F)C(F)CC(F)(F)F
ep-908059 FCOC(F)(F)C(F)CC(F)(F)C(F)F
ep-908060 FCOC(F)(F)C(F)CC(F)C(F)(F)F
ep-908061 FCOC(F)(F)CC(F)(F)C(F)(F)CF
ep-908062 FCOC(F)(F)CC(F)(F)C(F)C(F)F
ep-908063 FCOC(F)(F)CC(F)(F)CC(F)(F)F
ep-908064 FCOC(F)(F)CC(F)C(F)(F)C(F)F
ep-908065 FCOC(F)(F)CC(F)C(F)C(F)(F)F
ep-908066 FCOC(F)(F)CCC(F)(F)C(F)(F)F
ep-908067 COC(F)(F)C(F)(F)C(F)(F)C(C)(F)F
ep-908068 COC(F)(F)C(F)(F)C(F)(F)C(F)CF
ep-908069 COC(F)(F)C(F)(F)C(F)(F)CC(F)F
ep-908070 COC(F)(F)C(F)(F)C(F)C(F)(F)CF
ep-908071 COC(F)(F)C(F)(F)C(F)C(F)C(F)F
ep-908072 COC(F)(F)C(F)(F)C(F)CC(F)(F)F
ep-908073 COC(F)(F)C(F)(F)CC(F)(F)C(F)F
ep-908074 COC(F)(F)C(F)(F)CC(F)C(F)(F)F
ep-908075 COC(F)(F)C(F)C(F)(F)C(F)(F)CF
ep-908076 COC(F)(F)C(F)C(F)(F)C(F)C(F)F
ep-908077 COC(F)(F)C(F)C(F)(F)CC(F)(F)F
ep-908078 COC(F)(F)C(F)C(F)C(F)(F)C(F)F
ep-908079 COC(F)(F)C(F)C(F)C(F)C(F)(F)F
ep-908080 COC(F)(F)C(F)CC(F)(F)C(F)(F)F
ep-908081 COC(F)(F)CC(F)(F)C(F)(F)C(F)F
ep-908082 COC(F)(F)CC(F)(F)C(F)C(F)(F)F
ep-908083 COC(F)(F)CC(F)C(F)(F)C(F)(F)F
ep-908084 CCC(F)(F)C(F)(F)C(F)OC(F)(F)F
ep-908085 CC(F)C(F)C(F)(F)C(F)OC(F)(F)F
ep-908086 FCCC(F)C(F)(F)C(F)OC(F)(F)F
ep-908087 CC(F)(F)CC(F)(F)C(F)OC(F)(F)F
ep-908088 FCC(F)CC(F)(F)C(F)OC(F)(F)F
ep-908089 FC(F)CCC(F)(F)C(F)OC(F)(F)F
ep-908090 CC(F)C(F)(F)C(F)C(F)OC(F)(F)F
ep-908091 FCCC(F)(F)C(F)C(F)OC(F)(F)F
ep-908092 CC(F)(F)C(F)C(F)C(F)OC(F)(F)F
ep-908093 FCC(F)C(F)C(F)C(F)OC(F)(F)F
ep-908094 FC(F)CC(F)C(F)C(F)OC(F)(F)F
ep-908095 FCC(F)(F)CC(F)C(F)OC(F)(F)F
ep-908096 FC(F)C(F)CC(F)C(F)OC(F)(F)F
ep-908097 FC(CCC(F)(F)F)C(F)OC(F)(F)F
ep-908098 CC(F)(F)C(F)(F)CC(F)OC(F)(F)F
ep-908099 FCC(F)C(F)(F)CC(F)OC(F)(F)F
ep-908100 FC(F)CC(F)(F)CC(F)OC(F)(F)F
ep-908101 FCC(F)(F)C(F)CC(F)OC(F)(F)F
ep-908102 FC(CC(F)C(F)C(F)F)OC(F)(F)F
ep-908103 FC(CC(F)OC(F)(F)F)CC(F)(F)F
ep-908104 FC(CCC(F)(F)C(F)F)OC(F)(F)F
ep-908105 FC(CCC(F)C(F)(F)F)OC(F)(F)F
ep-908106 CC(F)C(F)(F)C(F)(F)C(F)OC(F)F
ep-908107 FCCC(F)(F)C(F)(F)C(F)OC(F)F
ep-908108 CC(F)(F)C(F)C(F)(F)C(F)OC(F)F
ep-908109 FCC(F)C(F)C(F)(F)C(F)OC(F)F
ep-908110 FC(F)CC(F)C(F)(F)C(F)OC(F)F
ep-908111 FCC(F)(F)CC(F)(F)C(F)OC(F)F
ep-908112 FC(F)OC(F)C(F)(F)CC(F)C(F)F
ep-908113 FC(F)OC(F)C(F)(F)CCC(F)(F)F
ep-908114 CC(F)(F)C(F)(F)C(F)C(F)OC(F)F
ep-908115 FCC(F)C(F)(F)C(F)C(F)OC(F)F
ep-908116 FC(F)CC(F)(F)C(F)C(F)OC(F)F
ep-908117 FCC(F)(F)C(F)C(F)C(F)OC(F)F
ep-908118 FC(F)OC(F)C(F)C(F)C(F)C(F)F
ep-908119 FC(F)OC(F)C(F)C(F)CC(F)(F)F
ep-908120 FC(F)OC(F)C(F)CC(F)(F)C(F)F
ep-908121 FC(F)OC(F)C(F)CC(F)C(F)(F)F
ep-908122 FCC(F)(F)C(F)(F)CC(F)OC(F)F
ep-908123 FC(F)OC(F)CC(F)(F)C(F)C(F)F
ep-908124 FC(F)OC(F)CC(F)(F)CC(F)(F)F
ep-908125 FC(F)OC(F)CC(F)C(F)(F)C(F)F
ep-908126 FC(F)OC(F)CC(F)C(F)C(F)(F)F
ep-908127 FC(F)OC(F)CCC(F)(F)C(F)(F)F
ep-908128 CC(F)(F)C(F)(F)C(F)(F)C(F)OCF
ep-908129 FCOC(F)C(F)(F)C(F)(F)C(F)CF
ep-908130 FCOC(F)C(F)(F)C(F)(F)CC(F)F
ep-908131 FCOC(F)C(F)(F)C(F)C(F)(F)CF
ep-908132 FCOC(F)C(F)(F)C(F)C(F)C(F)F
ep-908133 FCOC(F)C(F)(F)C(F)CC(F)(F)F
ep-908134 FCOC(F)C(F)(F)CC(F)(F)C(F)F
ep-908135 FCOC(F)C(F)(F)CC(F)C(F)(F)F
ep-908136 FCOC(F)C(F)C(F)(F)C(F)(F)CF
ep-908137 FCOC(F)C(F)C(F)(F)C(F)C(F)F
ep-908138 FCOC(F)C(F)C(F)(F)CC(F)(F)F
ep-908139 FCOC(F)C(F)C(F)C(F)(F)C(F)F
ep-908140 FCOC(F)C(F)C(F)C(F)C(F)(F)F
ep-908141 FCOC(F)C(F)CC(F)(F)C(F)(F)F
ep-908142 FCOC(F)CC(F)(F)C(F)(F)C(F)F
ep-908143 FCOC(F)CC(F)(F)C(F)C(F)(F)F
ep-908144 FCOC(F)CC(F)C(F)(F)C(F)(F)F
ep-908145 COC(F)C(F)(F)C(F)(F)C(F)(F)CF
ep-908146 COC(F)C(F)(F)C(F)(F)C(F)C(F)F
ep-908147 COC(F)C(F)(F)C(F)(F)CC(F)(F)F
ep-908148 COC(F)C(F)(F)C(F)C(F)(F)C(F)F
ep-908149 COC(F)C(F)(F)C(F)C(F)C(F)(F)F
ep-908150 COC(F)C(F)(F)CC(F)(F)C(F)(F)F
ep-908151 COC(F)C(F)C(F)(F)C(F)(F)C(F)F
ep-908152 COC(F)C(F)C(F)(F)C(F)C(F)(F)F
ep-908153 COC(F)C(F)C(F)C(F)(F)C(F)(F)F
ep-908154 COC(F)CC(F)(F)C(F)(F)C(F)(F)F
ep-908155 CC(F)C(F)(F)C(F)(F)COC(F)(F)F
ep-908156 FCCC(F)(F)C(F)(F)COC(F)(F)F
ep-908157 CC(F)(F)C(F)C(F)(F)COC(F)(F)F
ep-908158 FCC(F)C(F)C(F)(F)COC(F)(F)F
ep-908159 FC(F)CC(F)C(F)(F)COC(F)(F)F
ep-908160 FCC(F)(F)CC(F)(F)COC(F)(F)F
ep-908161 FC(F)C(F)CC(F)(F)COC(F)(F)F
ep-908162 FC(F)(F)CCC(F)(F)COC(F)(F)F
ep-908163 CC(F)(F)C(F)(F)C(F)COC(F)(F)F
ep-908164 FCC(F)C(F)(F)C(F)COC(F)(F)F
ep-908165 FC(F)CC(F)(F)C(F)COC(F)(F)F
ep-908166 FCC(F)(F)C(F)C(F)COC(F)(F)F
ep-908167 FC(F)C(F)C(F)C(F)COC(F)(F)F
ep-908168 FC(COC(F)(F)F)C(F)CC(F)(F)F
ep-908169 FC(COC(F)(F)F)CC(F)(F)C(F)F
ep-908170 FC(COC(F)(F)F)CC(F)C(F)(F)F
ep-908171 FCC(F)(F)C(F)(F)CCOC(F)(F)F
ep-908172 FC(F)C(F)C(F)(F)CCOC(F)(F)F
ep-908173 FC(F)(F)CC(F)(F)CCOC(F)(F)F
ep-908174 FC(F)C(F)(F)C(F)CCOC(F)(F)F
ep-908175 FC(CCOC(F)(F)F)C(F)C(F)(F)F
ep-908176 FC(F)(F)OCCCC(F)(F)C(F)(F)F
ep-908177 CC(F)(F)C(F)(F)C(F)(F)COC(F)F
ep-908178 FCC(F)C(F)(F)C(F)(F)COC(F)F
ep-908179 FC(F)CC(F)(F)C(F)(F)COC(F)F
ep-908180 FCC(F)(F)C(F)C(F)(F)COC(F)F
ep-908181 FC(F)OCC(F)(F)C(F)C(F)C(F)F
ep-908182 FC(F)OCC(F)(F)C(F)CC(F)(F)F
ep-908183 FC(F)OCC(F)(F)CC(F)(F)C(F)F
ep-908184 FC(F)OCC(F)(F)CC(F)C(F)(F)F
ep-908185 FCC(F)(F)C(F)(F)C(F)COC(F)F
ep-908186 FC(F)OCC(F)C(F)(F)C(F)C(F)F
ep-908187 FC(F)OCC(F)C(F)(F)CC(F)(F)F
ep-908188 FC(F)OCC(F)C(F)C(F)(F)C(F)F
ep-908189 FC(F)OCC(F)C(F)C(F)C(F)(F)F
ep-908190 FC(COC(F)F)CC(F)(F)C(F)(F)F
ep-908191 FC(F)OCCC(F)(F)C(F)(F)C(F)F
ep-908192 FC(F)OCCC(F)(F)C(F)C(F)(F)F
ep-908193 FC(F)OCCC(F)C(F)(F)C(F)(F)F
ep-908194 FCOCC(F)(F)C(F)(F)C(F)(F)CF
ep-908195 FCOCC(F)(F)C(F)(F)C(F)C(F)F
ep-908196 FCOCC(F)(F)C(F)(F)CC(F)(F)F
ep-908197 FCOCC(F)(F)C(F)C(F)(F)C(F)F
ep-908198 FCOCC(F)(F)C(F)C(F)C(F)(F)F
ep-908199 FCOCC(F)(F)CC(F)(F)C(F)(F)F
ep-908200 FCOCC(F)C(F)(F)C(F)(F)C(F)F
ep-908201 FCOCC(F)C(F)(F)C(F)C(F)(F)F
ep-908202 FCOCC(F)C(F)C(F)(F)C(F)(F)F
ep-908203 FCOCCC(F)(F)C(F)(F)C(F)(F)F
ep-908204 COCC(F)(F)C(F)(F)C(F)(F)C(F)F
ep-908205 COCC(F)(F)C(F)(F)C(F)C(F)(F)F
ep-908206 COCC(F)(F)C(F)C(F)(F)C(F)(F)F
ep-908207 COCC(F)C(F)(F)C(F)(F)C(F)(F)F
ep-908239 C=CC(F)C(F)(F)C(F)(F)OC(F)(F)F
ep-908240 C=C(F)CC(F)(F)C(F)(F)OC(F)(F)F
ep-908241 FC=CCC(F)(F)C(F)(F)OC(F)(F)F
ep-908242 C=CC(F)(F)C(F)C(F)(F)OC(F)(F)F
ep-908243 C=C(F)C(F)C(F)C(F)(F)OC(F)(F)F
ep-908244 FC=CC(F)C(F)C(F)(F)OC(F)(F)F
ep-908245 FC=C(F)CC(F)C(F)(F)OC(F)(F)F
ep-908246 FC(F)=CCC(F)C(F)(F)OC(F)(F)F
ep-908247 C=C(F)C(F)(F)CC(F)(F)OC(F)(F)F
ep-908248 FC=CC(F)(F)CC(F)(F)OC(F)(F)F
ep-908249 FC=C(F)C(F)CC(F)(F)OC(F)(F)F
ep-908250 FC(F)=CC(F)CC(F)(F)OC(F)(F)F
ep-908251 FC(F)=C(F)CCC(F)(F)OC(F)(F)F
ep-908252 C=CC(F)(F)C(F)(F)C(F)(F)OC(F)F
ep-908253 C=C(F)C(F)C(F)(F)C(F)(F)OC(F)F
ep-908254 FC=CC(F)C(F)(F)C(F)(F)OC(F)F
ep-908255 FC=C(F)CC(F)(F)C(F)(F)OC(F)F
ep-908256 FC(F)=CCC(F)(F)C(F)(F)OC(F)F
ep-908257 C=C(F)C(F)(F)C(F)C(F)(F)OC(F)F
ep-908258 FC=CC(F)(F)C(F)C(F)(F)OC(F)F
ep-908259 FC=C(F)C(F)C(F)C(F)(F)OC(F)F
ep-908260 FC(F)=CC(F)C(F)C(F)(F)OC(F)F
ep-908261 FC(F)=C(F)CC(F)C(F)(F)OC(F)F
ep-908262 FC=C(F)C(F)(F)CC(F)(F)OC(F)F
ep-908263 FC(F)=CC(F)(F)CC(F)(F)OC(F)F
ep-908264 FC(F)=C(F)C(F)CC(F)(F)OC(F)F
ep-908265 C=C(F)C(F)(F)C(F)(F)C(F)(F)OCF
ep-908266 FC=CC(F)(F)C(F)(F)C(F)(F)OCF
ep-908267 FC=C(F)C(F)C(F)(F)C(F)(F)OCF
ep-908268 FCOC(F)(F)C(F)(F)C(F)C=C(F)F
ep-908269 FCOC(F)(F)C(F)(F)CC(F)=C(F)F
ep-908270 FC=C(F)C(F)(F)C(F)C(F)(F)OCF
ep-908271 FCOC(F)(F)C(F)C(F)(F)C=C(F)F
ep-908272 FCOC(F)(F)C(F)C(F)C(F)=C(F)F
ep-908273 FCOC(F)(F)CC(F)(F)C(F)=C(F)F
ep-908274 COC(F)(F)C(F)(F)C(F)(F)C(F)=CF
ep-908275 COC(F)(F)C(F)(F)C(F)(F)C=C(F)F
ep-908276 COC(F)(F)C(F)(F)C(F)C(F)=C(F)F
ep-908277 COC(F)(F)C(F)C(F)(F)C(F)=C(F)F
ep-908278 C=CC(F)(F)C(F)(F)C(F)OC(F)(F)F
ep-908279 C=C(F)C(F)C(F)(F)C(F)OC(F)(F)F
ep-908280 FC=CC(F)C(F)(F)C(F)OC(F)(F)F
ep-908281 FC=C(F)CC(F)(F)C(F)OC(F)(F)F
ep-908282 FC(F)=CCC(F)(F)C(F)OC(F)(F)F
ep-908283 C=C(F)C(F)(F)C(F)C(F)OC(F)(F)F
ep-908284 FC=CC(F)(F)C(F)C(F)OC(F)(F)F
ep-908285 FC=C(F)C(F)C(F)C(F)OC(F)(F)F
ep-908286 FC(F)=CC(F)C(F)C(F)OC(F)(F)F
ep-908287 FC(F)=C(F)CC(F)C(F)OC(F)(F)F
ep-908288 FC=C(F)C(F)(F)CC(F)OC(F)(F)F
ep-908289 FC(F)=CC(F)(F)CC(F)OC(F)(F)F
ep-908290 FC(F)=C(F)C(F)CC(F)OC(F)(F)F
ep-908291 C=C(F)C(F)(F)C(F)(F)C(F)OC(F)F
ep-908292 FC=CC(F)(F)C(F)(F)C(F)OC(F)F
ep-908293 FC=C(F)C(F)C(F)(F)C(F)OC(F)F
ep-908294 FC(F)=CC(F)C(F)(F)C(F)OC(F)F
ep-908295 FC(F)=C(F)CC(F)(F)C(F)OC(F)F
ep-908296 FC=C(F)C(F)(F)C(F)C(F)OC(F)F
ep-908297 FC(F)=CC(F)(F)C(F)C(F)OC(F)F
ep-908298 FC(F)=C(F)C(F)C(F)C(F)OC(F)F
ep-908299 FC(F)=C(F)C(F)(F)CC(F)OC(F)F
ep-908300 FC=C(F)C(F)(F)C(F)(F)C(F)OCF
ep-908301 FCOC(F)C(F)(F)C(F)(F)C=C(F)F
ep-908302 FCOC(F)C(F)(F)C(F)C(F)=C(F)F
ep-908303 FCOC(F)C(F)C(F)(F)C(F)=C(F)F
ep-908304 COC(F)C(F)(F)C(F)(F)C(F)=C(F)F
ep-908305 C=C(F)C(F)(F)C(F)(F)COC(F)(F)F
ep-908306 FC=CC(F)(F)C(F)(F)COC(F)(F)F
ep-908307 FC=C(F)C(F)C(F)(F)COC(F)(F)F
ep-908308 FC(F)=CC(F)C(F)(F)COC(F)(F)F
ep-908309 FC(F)=C(F)CC(F)(F)COC(F)(F)F
ep-908310 FC=C(F)C(F)(F)C(F)COC(F)(F)F
ep-908311 FC(F)=CC(F)(F)C(F)COC(F)(F)F
ep-908312 FC(F)=C(F)C(F)C(F)COC(F)(F)F
ep-908313 FC(F)=C(F)C(F)(F)CCOC(F)(F)F
ep-908314 FC=C(F)C(F)(F)C(F)(F)COC(F)F
ep-908315 FC(F)=CC(F)(F)C(F)(F)COC(F)F
ep-908316 FC(F)=C(F)C(F)C(F)(F)COC(F)F
ep-908317 FC(F)=C(F)C(F)(F)C(F)COC(F)F
ep-908318 FCOCC(F)(F)C(F)(F)C(F)=C(F)F
ep-908319 C#CC(F)C(F)(F)C(F)(F)OC(F)(F)F
ep-908320 FC#CCC(F)(F)C(F)(F)OC(F)(F)F
ep-908321 C#CC(F)(F)C(F)C(F)(F)OC(F)(F)F
ep-908322 FC#CC(F)C(F)C(F)(F)OC(F)(F)F
ep-908323 FC#CC(F)(F)CC(F)(F)OC(F)(F)F
ep-908324 C#CC(F)(F)C(F)(F)C(F)(F)OC(F)F
ep-908325 FC#CC(F)C(F)(F)C(F)(F)OC(F)F
ep-908326 FC#CC(F)(F)C(F)C(F)(F)OC(F)F
ep-908327 FC#CC(F)(F)C(F)(F)C(F)(F)OCF
ep-908328 C#CC(F)(F)C(F)(F)C(F)OC(F)(F)F
ep-908329 FC#CC(F)C(F)(F)C(F)OC(F)(F)F
ep-908330 FC#CC(F)(F)C(F)C(F)OC(F)(F)F
ep-908331 FC#CC(F)(F)C(F)(F)C(F)OC(F)F
ep-908332 FC#CC(F)(F)C(F)(F)COC(F)(F)F
ep-908408 COC(F)C(F)(F)C(F)(F)OC(F)(F)F
ep-908409 FCOCC(F)(F)C(F)(F)OC(F)(F)F
ep-908410 COC(F)(F)C(F)C(F)(F)OC(F)(F)F
ep-908411 FCOC(F)C(F)C(F)(F)OC(F)(F)F
ep-908412 FC(F)OCC(F)C(F)(F)OC(F)(F)F
ep-908413 FCOC(F)(F)CC(F)(F)OC(F)(F)F
ep-908414 FC(F)OC(F)CC(F)(F)OC(F)(F)F
ep-908415 FC(F)(F)OCCC(F)(F)OC(F)(F)F
ep-908416 COC(F)(F)C(F)(F)C(F)(F)OC(F)F
ep-908417 FCOC(F)C(F)(F)C(F)(F)OC(F)F
ep-908418 FC(F)OCC(F)(F)C(F)(F)OC(F)F
ep-908419 FCOC(F)(F)C(F)C(F)(F)OC(F)F
ep-908420 FC(F)OC(F)C(F)C(F)(F)OC(F)F
ep-908421 FC(F)OC(F)(F)C(F)COC(F)(F)F
ep-908422 FC(F)OC(F)(F)CC(F)(F)OC(F)F
ep-908423 FC(F)OC(F)(F)CC(F)OC(F)(F)F
ep-908424 FCOC(F)(F)C(F)(F)C(F)(F)OCF
ep-908425 FCOC(F)(F)C(F)(F)C(F)OC(F)F
ep-908426 FCOC(F)(F)C(F)(F)COC(F)(F)F
ep-908427 FCOC(F)(F)C(F)C(F)OC(F)(F)F
ep-908428 COC(F)(F)C(F)(F)C(F)OC(F)(F)F
ep-908429 FCOC(F)C(F)(F)C(F)OC(F)(F)F
ep-908430 FC(F)OCC(F)(F)C(F)OC(F)(F)F
ep-908431 FC(F)OC(F)C(F)C(F)OC(F)(F)F
ep-908432 FC(COC(F)(F)F)C(F)OC(F)(F)F
ep-908433 FC(CC(F)OC(F)(F)F)OC(F)(F)F
ep-908434 FC(F)OC(F)C(F)(F)C(F)OC(F)F
ep-908435 FC(F)OC(F)C(F)(F)COC(F)(F)F
ep-908436 FC(F)(COC(F)(F)F)COC(F)(F)F
ep-908437 CC(F)(OC(F)(F)F)C(F)(F)C(F)=CF
ep-908438 C=C(F)C(F)(F)C(F)(CF)OC(F)(F)F
ep-908439 CC(F)(OC(F)(F)F)C(F)(F)C=C(F)F
ep-908440 FC=CC(F)(F)C(F)(CF)OC(F)(F)F
ep-908441 C=CC(F)(F)C(F)(OC(F)(F)F)C(F)F
ep-908442 CC(F)(OC(F)(F)F)C(F)C(F)=C(F)F
ep-908443 FC=C(F)C(F)C(F)(CF)OC(F)(F)F
ep-908444 C=C(F)C(F)C(F)(OC(F)(F)F)C(F)F
ep-908445 FCC(F)(OC(F)(F)F)C(F)C=C(F)F
ep-908446 FC=CC(F)C(F)(OC(F)(F)F)C(F)F
ep-908447 C=CC(F)C(F)(OC(F)(F)F)C(F)(F)F
ep-908448 FCC(F)(CC(F)=C(F)F)OC(F)(F)F
ep-908449 FC=C(F)CC(F)(OC(F)(F)F)C(F)F
ep-908450 C=C(F)CC(F)(OC(F)(F)F)C(F)(F)F
ep-908451 FC(F)=CCC(F)(OC(F)(F)F)C(F)F
ep-908452 FC=CCC(F)(OC(F)(F)F)C(F)(F)F
ep-908453 CC(F)(OC(F)F)C(F)(F)C(F)=C(F)F
ep-908454 FC=C(F)C(F)(F)C(F)(CF)OC(F)F
ep-908455 C=C(F)C(F)(F)C(F)(OC(F)F)C(F)F
ep-908456 FCC(F)(OC(F)F)C(F)(F)C=C(F)F
ep-908457 FC=CC(F)(F)C(F)(OC(F)F)C(F)F
ep-908458 C=CC(F)(F)C(F)(OC(F)F)C(F)(F)F
ep-908459 FCC(F)(OC(F)F)C(F)C(F)=C(F)F
ep-908460 FC=C(F)C(F)C(F)(OC(F)F)C(F)F
ep-908461 C=C(F)C(F)C(F)(OC(F)F)C(F)(F)F
ep-908462 FC(F)=CC(F)C(F)(OC(F)F)C(F)F
ep-908463 FC=CC(F)C(F)(OC(F)F)C(F)(F)F
ep-908464 FC(F)=C(F)CC(F)(OC(F)F)C(F)F
ep-908465 FC=C(F)CC(F)(OC(F)F)C(F)(F)F
ep-908466 FC(F)=CCC(F)(OC(F)F)C(F)(F)F
ep-908467 FCOC(F)(CF)C(F)(F)C(F)=C(F)F
ep-908468 FC=C(F)C(F)(F)C(F)(OCF)C(F)F
ep-908469 C=C(F)C(F)(F)C(F)(OCF)C(F)(F)F
ep-908470 FCOC(F)(C(F)F)C(F)(F)C=C(F)F
ep-908471 FC=CC(F)(F)C(F)(OCF)C(F)(F)F
ep-908472 FCOC(F)(C(F)F)C(F)C(F)=C(F)F
ep-908473 FC=C(F)C(F)C(F)(OCF)C(F)(F)F
ep-908474 FCOC(F)(C(F)C=C(F)F)C(F)(F)F
ep-908475 FCOC(F)(CC(F)=C(F)F)C(F)(F)F
ep-908476 COC(F)(C(F)F)C(F)(F)C(F)=C(F)F
ep-908477 COC(F)(C(F)(F)F)C(F)(F)C(F)=CF
ep-908478 COC(F)(C(F)(F)F)C(F)(F)C=C(F)F
ep-908479 COC(F)(C(F)C(F)=C(F)F)C(F)(F)F
ep-908480 CC(OC(F)(F)F)C(F)(F)C(F)=C(F)F
ep-908481 FC=C(F)C(F)(F)C(CF)OC(F)(F)F
ep-908482 C=C(F)C(F)(F)C(OC(F)(F)F)C(F)F
ep-908483 FCC(OC(F)(F)F)C(F)(F)C=C(F)F
ep-908484 FC=CC(F)(F)C(OC(F)(F)F)C(F)F
ep-908485 C=CC(F)(F)C(OC(F)(F)F)C(F)(F)F
ep-908486 FCC(OC(F)(F)F)C(F)C(F)=C(F)F
